eleccion,ambito_mostrado,tipo_ambito,nivel_fila,total_actas,actas_contabilizadas,actas_jee,actas_pendientes,votos_validos,fila_panel_resumen,pct_contabilizadas,riesgo_cambio_visual,nota
Formula Presidencial,Nacional,nacional,panel_resumen,92766,92618,148,0,16729875,True,99.84,0.0015954121121962788,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Amazonas,departamento_detalle,detalle_departamental,10068,10045,23,0,1886134,False,99.772,0.0022844656336909017,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Ancash,departamento_detalle,detalle_departamental,781,754,1,0,152371,False,96.543,0.0012804097311139564,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Apurimac,departamento_detalle,detalle_departamental,710,708,2,0,121451,False,99.718,0.0028169014084507044,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Arequipa,departamento_detalle,detalle_departamental,5461,4981,5,0,997453,False,91.21,0.0009155832265152902,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Ayacucho,departamento_detalle,detalle_departamental,7851,7758,11,0,1349300,False,98.815,0.0014010954018596356,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Cajamarca,departamento_detalle,detalle_departamental,558,516,1,0,93784,False,92.473,0.0017921146953405018,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Callao,departamento_detalle,detalle_departamental,3492,3485,7,0,650354,False,99.8,0.002004581901489118,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Cusco,departamento_detalle,detalle_departamental,4204,4062,7,0,753588,False,96.622,0.001665080875356803,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Huancavelica,departamento_detalle,detalle_departamental,1549,1487,4,0,316241,False,95.997,0.0025823111684958036,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Huanuco,departamento_detalle,detalle_departamental,3596,3589,7,0,649605,False,99.805,0.001946607341490545,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Ica,departamento_detalle,detalle_departamental,6050,6041,9,0,1094965,False,99.851,0.0014876033057851239,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Junin,departamento_detalle,detalle_departamental,7800,7311,12,0,1409351,False,93.731,0.0015384615384615385,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,La Libertad,departamento_detalle,detalle_departamental,1656,1653,3,0,234330,False,99.819,0.0018115942028985507,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Lambayeque,departamento_detalle,detalle_departamental,1710,1679,4,0,322091,False,98.187,0.0023391812865497076,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Lima,departamento_detalle,detalle_departamental,2546,2484,6,0,440790,False,97.565,0.002356637863315004,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Loreto,departamento_detalle,detalle_departamental,1611,1588,3,0,294533,False,98.572,0.00186219739292365,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Moquegua,departamento_detalle,detalle_departamental,7739,7110,21,0,1325779,False,91.872,0.0027135288797002196,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Pasco,departamento_detalle,detalle_departamental,68,68,0,0,13198,False,100.0,0.0,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Piura,departamento_detalle,detalle_departamental,1140,1138,2,0,189245,False,99.825,0.0017543859649122807,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Puno,departamento_detalle,detalle_departamental,17807,17789,16,0,3437978,False,99.899,0.0008985230527320717,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,San Martin,departamento_detalle,detalle_departamental,1820,1818,1,0,345745,False,99.89,0.0005494505494505495,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Tacna,departamento_detalle,detalle_departamental,3411,3280,5,0,651199,False,96.159,0.001465845793022574,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Tumbes,departamento_detalle,detalle_departamental,996,983,1,0,166012,False,98.695,0.001004016064257028,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Formula Presidencial,Ucayali,departamento_detalle,detalle_departamental,142,142,0,0,24879,False,100.0,0.0,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Nacional,nacional,panel_resumen,92766,79020,13729,17,12897001,True,85.182,0.14817928982601383,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Amazonas,departamento_detalle,detalle_departamental,10289,8319,1970,0,1443798,False,80.853,0.1914666148313733,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Ancash,departamento_detalle,detalle_departamental,13080,10593,2071,2,1965488,False,80.986,0.15848623853211008,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Apurimac,departamento_detalle,detalle_departamental,4733,3916,816,1,654072,False,82.738,0.1726177899852102,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Arequipa,departamento_detalle,detalle_departamental,9241,7526,1713,2,1211659,False,81.441,0.18558597554377232,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Ayacucho,departamento_detalle,detalle_departamental,388,327,61,0,58839,False,84.278,0.15721649484536082,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Cajamarca,departamento_detalle,detalle_departamental,299,245,54,0,40112,False,81.94,0.1806020066889632,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Callao,departamento_detalle,detalle_departamental,4261,3707,382,1,588504,False,86.998,0.0898850035203004,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Cusco,departamento_detalle,detalle_departamental,4044,3321,723,0,592619,False,82.122,0.17878338278931752,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Huancavelica,departamento_detalle,detalle_departamental,1901,1494,220,1,258341,False,78.59,0.1162546028406102,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Huanuco,departamento_detalle,detalle_departamental,3456,2494,961,1,473803,False,72.164,0.27835648148148145,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Ica,departamento_detalle,detalle_departamental,3707,2888,615,1,524230,False,77.907,0.1661721068249258,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Junin,departamento_detalle,detalle_departamental,594,415,179,0,83796,False,69.865,0.30134680134680136,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,La Libertad,departamento_detalle,detalle_departamental,7696,6589,741,2,1181896,False,85.616,0.09654365904365904,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Lambayeque,departamento_detalle,detalle_departamental,2684,2167,517,0,359701,False,80.738,0.19262295081967212,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Lima,departamento_detalle,detalle_departamental,2276,2083,193,0,315747,False,91.52,0.08479789103690685,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Loreto,departamento_detalle,detalle_departamental,1161,928,98,0,146298,False,79.931,0.08440999138673558,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Moquegua,departamento_detalle,detalle_departamental,169,138,31,0,24942,False,81.657,0.1834319526627219,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Pasco,departamento_detalle,detalle_departamental,2141,1794,20,0,256245,False,83.793,0.009341429238673517,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Piura,departamento_detalle,detalle_departamental,4877,4027,849,1,668929,False,82.571,0.1742874718064384,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Puno,departamento_detalle,detalle_departamental,5035,3986,1048,1,750519,False,79.166,0.2083416087388282,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,San Martin,departamento_detalle,detalle_departamental,1995,1612,383,0,267374,False,80.802,0.19197994987468672,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Tacna,departamento_detalle,detalle_departamental,222,192,18,0,27756,False,86.486,0.08108108108108109,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Tumbes,departamento_detalle,detalle_departamental,458,381,77,0,63362,False,83.188,0.16812227074235808,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DU,Ucayali,departamento_detalle,detalle_departamental,8059,6424,715,2,1199814,False,79.712,0.08896885469661248,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DM,Lima Metropolitana,distrito_electoral,panel_resumen,26368,24484,1883,1,4396254,True,92.855,0.0714502427184466,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DM,Amazonas,departamento_detalle,detalle_departamental,972,852,120,0,172956,False,87.654,0.12345679012345678,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
Senadores DM,Ancash,departamento_detalle,detalle_departamental,465,425,40,0,73104,False,91.398,0.08602150537634409,Sintetico; diseñado para comparar elecciones con distinto avance y ambito.
