departamento,distrito_sintetico,tipo_area_sintetica,pobreza_monetaria_pct_2024_sintetica,pobreza_departamental_pct_2024_sintetica,pct_votos_validos_candidatura_x_2026_sintetico,electores_habiles_sintetico,nota
Amazonas,AMA-01,rural,48.0,34.0,8.8,28108,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Amazonas,AMA-02,rural,41.2,34.0,12.61,184673,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Amazonas,AMA-03,urbano,34.2,34.0,8.06,55413,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Amazonas,AMA-04,urbano,33.2,34.0,12.31,14783,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Amazonas,AMA-05,mixto,35.1,34.0,15.9,72811,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Amazonas,AMA-06,rural,36.8,34.0,16.15,125179,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Amazonas,AMA-07,rural,41.2,34.0,10.31,77002,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Amazonas,AMA-08,urbano,28.9,34.0,16.87,49839,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Amazonas,AMA-09,mixto,28.2,34.0,9.76,106801,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Amazonas,AMA-10,urbano,19.0,34.0,11.15,53991,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Amazonas,AMA-11,urbano,36.9,34.0,16.0,33982,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Amazonas,AMA-12,mixto,33.5,34.0,12.05,34049,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Amazonas,AMA-13,urbano,27.6,34.0,11.82,216363,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Amazonas,AMA-14,urbano,29.3,34.0,12.27,83865,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Amazonas,AMA-15,rural,40.4,34.0,13.44,101433,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ancash,ANC-01,mixto,30.1,29.0,12.5,210488,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ancash,ANC-02,mixto,31.9,29.0,8.75,71996,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ancash,ANC-03,mixto,31.6,29.0,12.73,50068,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ancash,ANC-04,mixto,29.8,29.0,3.96,73468,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ancash,ANC-05,urbano,27.0,29.0,3.41,11493,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ancash,ANC-06,urbano,15.4,29.0,15.53,52267,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ancash,ANC-07,rural,39.8,29.0,15.1,87698,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ancash,ANC-08,mixto,37.4,29.0,18.41,25585,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ancash,ANC-09,rural,34.0,29.0,13.88,91429,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ancash,ANC-10,rural,41.5,29.0,12.27,60759,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ancash,ANC-11,mixto,26.1,29.0,9.72,144856,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Apurimac,APU-01,rural,51.4,46.0,14.45,224322,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Apurimac,APU-02,mixto,51.5,46.0,14.8,179337,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
